,condition,time,type
0,Supervised,2.815773711,congratulation
1,Supervised,0.389697629,congratulation
2,Supervised,6.859105849,congratulation
3,Supervised,1.359141514,congratulation
4,Supervised,0.648912682,congratulation
5,Supervised,5.183594696,congratulation
6,Supervised,3.42297165,congratulation
7,Supervised,8.915112853,congratulation
8,Supervised,1.738994032,congratulation
9,Supervised,0.993022516,congratulation
10,Supervised,0.121093176,congratulation
11,Supervised,5.292086702,congratulation
12,Supervised,1.417685922,congratulation
13,Supervised,1.41434477,congratulation
14,Supervised,1.27312587,congratulation
15,Supervised,1.011874548,congratulation
16,Supervised,0.416334123,congratulation
17,Supervised,1.554371348,congratulation
18,Supervised,2.816896933,congratulation
19,Supervised,1.621136583,congratulation
20,Supervised,1.391096126,congratulation
21,Supervised,0.563747738,congratulation
22,Supervised,2.183446968,congratulation
23,Supervised,1.462612885,congratulation
24,Supervised,0.306659178,congratulation
25,Supervised,2.559953181,congratulation
26,Supervised,0.878211991,congratulation
27,Supervised,0.300779809,congratulation
28,Supervised,1.747323938,congratulation
29,Supervised,0.296088205,congratulation
30,Supervised,0.20925903,congratulation
31,Supervised,2.132885667,congratulation
32,Supervised,2.886507417,congratulation
33,Supervised,0.744439515,congratulation
34,Supervised,0.088898511,congratulation
35,Supervised,1.558684263,congratulation
36,Supervised,2.129800467,congratulation
37,Supervised,1.373899102,congratulation
38,Supervised,2.597327025,congratulation
39,Supervised,2.207863483,congratulation
40,Supervised,1.569431774,congratulation
41,Supervised,1.21553559,congratulation
42,Supervised,1.445390342,congratulation
43,Supervised,2.182528274,congratulation
44,Supervised,1.837073085,congratulation
45,Supervised,3.673130173,congratulation
46,Supervised,0.132058309,congratulation
47,Supervised,0.570384878,congratulation
48,Supervised,0.211069434,congratulation
49,Supervised,4.348433485,congratulation
50,Supervised,1.971609794,congratulation
51,Supervised,1.701300277,congratulation
52,Supervised,0.130256165,congratulation
53,Supervised,0.196877011,congratulation
54,Supervised,0.709197252,congratulation
55,Supervised,0.174483639,congratulation
56,Supervised,1.448280024,congratulation
57,Supervised,0.314176843,congratulation
58,Supervised,2.771590088,congratulation
59,Supervised,1.075424954,congratulation
60,Supervised,0.537583737,congratulation
61,Supervised,1.36056948,congratulation
62,Supervised,1.733176801,congratulation
63,Supervised,0.622894103,congratulation
64,Supervised,0.401367995,congratulation
65,Supervised,3.805765378,congratulation
66,Supervised,0.545359898,congratulation
67,Supervised,0.846123111,congratulation
68,Supervised,1.475831444,congratulation
69,Supervised,0.996739332,congratulation
70,Supervised,1.864916446,congratulation
71,Supervised,0.282119128,congratulation
72,Supervised,1.206071635,congratulation
73,Supervised,2.348766465,congratulation
74,Supervised,1.338772159,congratulation
75,Supervised,1.869083696,congratulation
76,Supervised,2.124232129,congratulation
77,Supervised,1.380799557,congratulation
78,Supervised,3.444355708,congratulation
79,Supervised,2.309196045,congratulation
80,Supervised,1.844592793,congratulation
81,Supervised,2.919728815,congratulation
82,Supervised,0.859982073,congratulation
83,Supervised,1.560938485,congratulation
84,Supervised,1.152616212,congratulation
85,Supervised,1.444770488,congratulation
86,Supervised,1.930987843,congratulation
87,Supervised,1.174177106,congratulation
88,Supervised,1.418976713,congratulation
89,Supervised,0.152846794,congratulation
90,Supervised,1.728991076,congratulation
91,Supervised,0.257181763,congratulation
92,Supervised,0.631134982,congratulation
93,Supervised,0.130776889,congratulation
94,Supervised,0.37583992,congratulation
95,Supervised,1.515781413,congratulation
96,Supervised,1.245624732,congratulation
97,Supervised,1.36293037,congratulation
98,Supervised,4.558873906,congratulation
99,Supervised,0.989362215,congratulation
100,Supervised,1.81317323,congratulation
101,Supervised,1.293604151,congratulation
102,Supervised,1.296283353,congratulation
103,Supervised,1.626870096,congratulation
104,Supervised,3.511724753,congratulation
105,Supervised,1.563222944,congratulation
106,Supervised,3.697954752,congratulation
107,Supervised,1.583005942,congratulation
108,Supervised,2.378467208,congratulation
109,Supervised,3.093358328,congratulation
110,Supervised,2.576912459,congratulation
111,Supervised,2.236289376,congratulation
112,Supervised,1.521631996,congratulation
113,Supervised,2.61726213,congratulation
114,Supervised,0.096764751,congratulation
115,Supervised,3.186415631,congratulation
116,Supervised,0.270287996,congratulation
117,Supervised,1.365164513,congratulation
118,Supervised,0.68067226,congratulation
119,Supervised,2.572619824,congratulation
120,Supervised,2.167394096,congratulation
121,Supervised,0.696287661,congratulation
122,Supervised,1.69105952,congratulation
123,Supervised,0.436129038,congratulation
124,Supervised,1.681206097,congratulation
125,Supervised,2.923428063,congratulation
126,Supervised,1.016711346,congratulation
127,Supervised,0.671625222,congratulation
128,Supervised,2.302475392,congratulation
129,Supervised,2.15851683,congratulation
130,Supervised,1.970174426,congratulation
131,Supervised,1.191677881,congratulation
132,Supervised,2.240085931,congratulation
133,Supervised,1.289008459,congratulation
134,Supervised,1.413570427,congratulation
135,Supervised,1.761670462,congratulation
136,Supervised,1.742167454,congratulation
137,Supervised,1.495066039,congratulation
138,Supervised,0.378217089,congratulation
139,Supervised,1.044519337,congratulation
140,Supervised,2.310966741,congratulation
141,Supervised,3.983100228,congratulation
142,Supervised,2.565575049,congratulation
143,Supervised,1.166882131,congratulation
144,Supervised,1.708291052,congratulation
145,Supervised,1.506417058,congratulation
146,Supervised,2.349704755,congratulation
147,Supervised,1.685324119,congratulation
148,Supervised,0.973986786,congratulation
149,Supervised,1.761512499,congratulation
150,Supervised,1.707423281,congratulation
151,Supervised,1.759493276,congratulation
152,Supervised,1.649798506,congratulation
153,Supervised,1.928326288,congratulation
154,Supervised,0.677685319,congratulation
155,Supervised,1.643221842,congratulation
156,Supervised,1.36110353,congratulation
157,Supervised,1.145328489,congratulation
158,Supervised,0.511366837,congratulation
159,Supervised,2.802597735,congratulation
160,Supervised,5.184199712,congratulation
161,Supervised,1.205608201,congratulation
162,Supervised,1.84417858,congratulation
163,Supervised,0.379127378,congratulation
164,Supervised,0.094809481,congratulation
165,Supervised,1.054571879,congratulation
166,Supervised,1.422697241,congratulation
167,Supervised,0.279637704,congratulation
168,Supervised,0.557601128,congratulation
169,Supervised,0.71160649,congratulation
170,Supervised,0.364608224,congratulation
171,Supervised,0.940616162,congratulation
172,Supervised,0.098679675,congratulation
173,Supervised,1.191735276,congratulation
174,Supervised,0.202774341,congratulation
175,Supervised,0.622493141,congratulation
176,Supervised,1.735993598,congratulation
177,Supervised,0.011571471,congratulation
178,Supervised,0.273219496,congratulation
179,Supervised,1.207006685,congratulation
180,Supervised,1.435070192,congratulation
181,Supervised,0.297237887,congratulation
182,Supervised,1.414358096,congratulation
183,Supervised,1.150997129,congratulation
184,Supervised,1.799001032,congratulation
185,Supervised,0.6231072,congratulation
186,Supervised,2.088720108,congratulation
187,Supervised,1.617475988,congratulation
188,Supervised,2.156958241,congratulation
189,Supervised,1.211862599,congratulation
190,Supervised,1.258834832,congratulation
191,Supervised,0.674281196,congratulation
192,Supervised,4.009776693,congratulation
193,Supervised,1.193428163,congratulation
194,Supervised,2.242865386,congratulation
195,Supervised,1.48510054,congratulation
196,Supervised,0.238984673,congratulation
197,Supervised,0.109648858,congratulation
198,Supervised,0.424901221,congratulation
199,Supervised,2.873592337,congratulation
200,Supervised,1.409189267,congratulation
201,Supervised,1.327489651,congratulation
202,Supervised,0.967653372,congratulation
203,Supervised,1.008960881,congratulation
204,Supervised,1.170603324,congratulation
205,Supervised,0.579329924,congratulation
206,Supervised,0.963060092,congratulation
207,Supervised,2.685092865,congratulation
208,Supervised,1.372669048,congratulation
209,Supervised,0.399689689,congratulation
210,Supervised,1.535786458,congratulation
211,Supervised,1.437366077,congratulation
212,Supervised,1.140577417,congratulation
213,Supervised,1.629903565,congratulation
